,summary,name
0,{'_wandb': {'runtime': 19}},unimatch_v2_wandb_gradient_dino_small
1,{'_wandb': {'runtime': 17}},unimatch_v2_wandb_gradient_dino_small
2,{},unimatch_v2_wandb_gradient_dino_small
3,{'_wandb': {'runtime': 17}},unimatch_v2_wandb_gradient_dino_base
4,"{'_runtime': 174917.662655779, '_step': 157379, '_timestamp': 1738352139.9999614, '_wandb': {'runtime': 174918}, 'eval/mIoU': 84.0862100141941, 'eval/mIoU_ema': 84.08052081213373, 'train/loss_all': 0.040667708963155746, 'train/loss_s': 0.1571933925151825, 'train/loss_x': 0.002533180406317115, 'train/loss_x_gradient': 0.0003742446133401245, 'train/loss_x_norm': 0.002570020267739892, 'train/mask_ratio': 0.9868283867836}",unimatch_v2_wandb_wo_FA_normloss_gradient_dino_small
5,"{'_runtime': 174209.322039828, '_step': 157379, '_timestamp': 1738351439.5703511, '_wandb': {'runtime': 174210}, 'eval/mIoU': 77.73310967126423, 'eval/mIoU_ema': 77.73048595909248, 'train/loss_all': 0.010139060206711292, 'train/loss_s': 0.02921537309885025, 'train/loss_x': 0.008777862414717674, 'train/loss_x_gradient': 0.0002411790192127228, 'train/loss_x_norm': 0.0023218272253870964, 'train/mask_ratio': 0.98844712972641}",unimatch_v2_wandb_wo_FA_normloss_gradient_dino_small
6,"{'_runtime': 173859.224693485, '_step': 157379, '_timestamp': 1738351090.930335, '_wandb': {'runtime': 173860}, 'eval/mIoU': 84.0270133377094, 'eval/mIoU_ema': 84.02134484324797, 'train/loss_all': 0.02678743936121464, 'train/loss_s': 0.10065832734107973, 'train/loss_x': 0.0034534833393990993, 'train/loss_x_gradient': 0.0004306202754378319, 'train/loss_x_norm': 0.002607326488941908, 'train/mask_ratio': 0.9863559007644652}",unimatch_v2_wandb_wo_FA_normloss_gradient_dino_small
7,"{'_runtime': 175458.586070587, '_step': 157379, '_timestamp': 1738352700.1683269, '_wandb': {'runtime': 175459}, 'eval/mIoU': 84.38364242373162, 'eval/mIoU_ema': 84.3843241011937, 'train/loss_all': 0.010505723766982555, 'train/loss_s': 0.02752735465764999, 'train/loss_x': 0.0033217519521713257, 'train/loss_x_gradient': 0.0006680645747110248, 'train/mask_ratio': 0.985724687576294}",unimatch_v2_wandb_gradient_dino_small
8,"{'_runtime': 176930.181645843, '_step': 157379, '_timestamp': 1738354176.904387, '_wandb': {'runtime': 176931}, 'eval/mIoU': 83.41564515246829, 'eval/mIoU_ema': 83.41490390089736, 'train/loss_all': 0.017845479771494865, 'train/loss_s': 0.06625440716743469, 'train/loss_x': 0.0018788076704367995, 'train/loss_x_gradient': 0.0005418767686933279, 'train/loss_x_norm': 0.002706830622628331, 'train/mask_ratio': 0.9779974818229676}",unimatch_v2_wandb_wo_FA_normloss_gradient_dino_small
9,"{'_runtime': 173919.05403431, '_step': 157379, '_timestamp': 1738351168.078404, '_wandb': {'runtime': 173920}, 'eval/mIoU': 77.44659246989151, 'eval/mIoU_ema': 77.4433364996414, 'train/loss_all': 0.01226725336164236, 'train/loss_s': 0.03316415846347809, 'train/loss_x': 0.0033271515276283026, 'train/loss_x_gradient': 0.0003104505594819784, 'train/mask_ratio': 0.971718966960907}",unimatch_v2_wandb_gradient_dino_small
