,summary,name
0,"{'_runtime': 24183.227049307, '_step': 20891, '_timestamp': 1741646180.840067, '_wandb': {'runtime': 24184}, 'eval/mIoU': 83.1242302678919, 'eval/mIoU_ema': 85.70746726934956, 'train/loss_all': 0.033609624952077866, 'train/loss_s': 0.10485959053039552, 'train/loss_x': 0.023214053362607956, 'train/loss_x_gradient': 0.003581979777663946, 'train/loss_x_norm': 0.002782875671982765, 'train/mask_ratio': 0.8384212851524353}",unimatch_v2_wandb_wo_FA_normloss_gradient_dino_small
1,"{'_runtime': 147674.329457342, '_step': 136799, '_timestamp': 1741769677.9391248, '_wandb': {'runtime': 147675}, 'eval/mIoU': 87.68630954434445, 'eval/mIoU_ema': 87.68551724709502, 'train/loss_all': 0.0033537850249558687, 'train/loss_s': 0.006665287539362907, 'train/loss_x': 0.003629181534051895, 'train/loss_x_gradient': 0.0005340235657058656, 'train/loss_x_norm': 0.002586647402495146, 'train/mask_ratio': 0.975791037082672}",unimatch_v2_wandb_wo_FA_normloss_gradient_dino_small
2,"{'_runtime': 156079.304096462, '_step': 136799, '_timestamp': 1741778082.922984, '_wandb': {'runtime': 156080}, 'eval/mIoU': 87.50356395393631, 'eval/mIoU_ema': 87.50316514328682, 'train/loss_all': 0.003901661606505513, 'train/loss_s': 0.008324343711137772, 'train/loss_x': 0.003781690495088697, 'train/loss_x_gradient': 0.0007750343065708876, 'train/loss_x_norm': 0.00272557744756341, 'train/mask_ratio': 0.9758718013763428}",unimatch_v2_wandb_wo_FA_normloss_gradient_dino_small
3,"{'_runtime': 156844.014023085, '_step': 136799, '_timestamp': 1741778853.0373092, '_wandb': {'runtime': 156845}, 'eval/mIoU': 87.44690776091174, 'eval/mIoU_ema': 87.44912845646425, 'train/loss_all': 0.005286853294819593, 'train/loss_s': 0.011615384370088576, 'train/loss_x': 0.006112250965088606, 'train/loss_x_gradient': 0.0007766364142298698, 'train/loss_x_norm': 0.0026431414298713207, 'train/mask_ratio': 0.9661012887954712}",unimatch_v2_wandb_wo_FA_normloss_gradient_dino_small
4,"{'_runtime': 150661.321877591, '_step': 136799, '_timestamp': 1741772673.6931615, '_wandb': {'runtime': 150662}, 'eval/mIoU': 87.00409058003028, 'eval/mIoU_ema': 87.00667175560223, 'train/loss_all': 0.012544898316264153, 'train/loss_s': 0.032628223299980164, 'train/loss_x': 0.004504898097366095, 'train/loss_x_gradient': 0.0005015737842768431, 'train/mask_ratio': 0.9737398028373718}",unimatch_v2_wandb_gradient_dino_small
5,"{'_runtime': 155130.834836315, '_step': 136799, '_timestamp': 1741777146.1548507, '_wandb': {'runtime': 155131}, 'eval/mIoU': 87.86597962085322, 'eval/mIoU_ema': 87.85897503862017, 'train/loss_all': 0.008211798034608364, 'train/loss_s': 0.021783262491226196, 'train/loss_x': 0.008275250904262066, 'train/loss_x_gradient': 0.0003810081398114562, 'train/loss_x_norm': 0.0024076716508716345, 'train/mask_ratio': 0.9756925702095032}",unimatch_v2_wandb_wo_FA_normloss_gradient_dino_small
6,"{'_runtime': 153049.811323311, '_step': 136799, '_timestamp': 1741775065.6448348, '_wandb': {'runtime': 153050}, 'eval/mIoU': 86.8746928671061, 'eval/mIoU_ema': 86.87129466491915, 'train/loss_all': 0.008998050354421139, 'train/loss_s': 0.020966798067092896, 'train/loss_x': 0.0052337986417114735, 'train/loss_x_gradient': 0.0007935541216284037, 'train/mask_ratio': 0.973429262638092}",unimatch_v2_wandb_gradient_dino_small
7,"{'_runtime': 152964.025188344, '_step': 136799, '_timestamp': 1741774985.9721742, '_wandb': {'runtime': 152965}, 'eval/mIoU': 87.16809680093417, 'eval/mIoU_ema': 87.1677899908176, 'train/loss_all': 0.0052197035402059555, 'train/loss_s': 0.010990006849169731, 'train/loss_x': 0.003916902467608452, 'train/loss_x_gradient': 0.0007522011292167008, 'train/mask_ratio': 0.9748399257659912}",unimatch_v2_wandb_gradient_dino_small
8,{'_wandb': {'runtime': 15}},unimatch_v2_wandb_normloss_gradient_dino_small
9,"{'_runtime': 113637.669908528, '_step': 136799, '_timestamp': 1741735683.3230948, '_wandb': {'runtime': 113639}, 'eval/mIoU': 87.37528009039053, 'eval/mIoU_ema': 87.38224933625482, 'train/loss_all': 0.004795772489160299, 'train/loss_s': 0.006437479984015226, 'train/loss_x': 0.0055157276801764965, 'train/loss_x_norm': 0.0024341088719666004, 'train/mask_ratio': 0.9739646911621094}",unimatch_v2_wandb_normloss_dino_small
