,summary,name
0,"{'_runtime': 469.658919788, '_step': 420, '_timestamp': 1739336573.4249847, '_wandb': {'runtime': 469}, 'train/loss_all': 0.15831348299980164, 'train/loss_s': 0.1933249831199646, 'train/loss_x': 0.423272043466568, 'train/loss_x_gradient': 0.013745330274105072, 'train/loss_x_norm': 0.002911574440076947, 'train/mask_ratio': 0.4634609818458557}",unimatch_v2_wandb_wo_FA_normloss_gradient_dino_small
1,"{'_runtime': 439.711205321, '_step': 389, '_timestamp': 1739336549.8489249, '_wandb': {'runtime': 439}, 'train/loss_all': 0.08355018496513367, 'train/loss_s': 0.02115771733224392, 'train/loss_x': 0.29817327857017517, 'train/loss_x_gradient': 0.011956469155848026, 'train/loss_x_norm': 0.0029132594354450703, 'train/mask_ratio': 0.7609675526618958}",unimatch_v2_wandb_wo_FA_normloss_gradient_dino_small
2,"{'_runtime': 439.834135556, '_step': 406, '_timestamp': 1739336551.135692, '_wandb': {'runtime': 439}, 'train/loss_all': 0.047830790281295776, 'train/loss_s': 0.007292740046977997, 'train/loss_x': 0.15977557003498075, 'train/loss_x_gradient': 0.021316051483154297, 'train/loss_x_norm': 0.0029387902468442917, 'train/mask_ratio': 0.4610152244567871}",unimatch_v2_wandb_wo_FA_normloss_gradient_dino_small
3,"{'_runtime': 440.113164035, '_step': 402, '_timestamp': 1739336562.2753098, '_wandb': {'runtime': 440}, 'train/loss_all': 0.13497400283813477, 'train/loss_s': 0.32549604773521423, 'train/loss_x': 0.19633015990257263, 'train/loss_x_gradient': 0.015180335380136968, 'train/loss_x_norm': 0.002889434341341257, 'train/mask_ratio': 0.46770602464675903}",unimatch_v2_wandb_wo_FA_normloss_gradient_dino_small
4,"{'_runtime': 440.279732376, '_step': 383, '_timestamp': 1739336563.3984137, '_wandb': {'runtime': 440}, 'train/loss_all': 0.05952830612659454, 'train/loss_s': 0.026785794645547867, 'train/loss_x': 0.14622998237609863, 'train/loss_x_gradient': 0.005569147877395153, 'train/mask_ratio': 0.4253528118133545}",unimatch_v2_wandb_gradient_dino_small
5,"{'_runtime': 439.805615415, '_step': 386, '_timestamp': 1739336567.34895, '_wandb': {'runtime': 440}, 'train/loss_all': 0.04897185415029526, 'train/loss_s': 0.00486521702259779, 'train/loss_x': 0.18082740902900696, 'train/loss_x_gradient': 0.007234395015984774, 'train/loss_x_norm': 0.002960403449833393, 'train/mask_ratio': 0.6428194046020508}",unimatch_v2_wandb_wo_FA_normloss_gradient_dino_small
6,"{'_runtime': 437.801032553, '_step': 385, '_timestamp': 1739336569.1606326, '_wandb': {'runtime': 438}, 'train/loss_all': 0.03710046410560608, 'train/loss_s': 0.004616118967533112, 'train/loss_x': 0.1347270905971527, 'train/loss_x_gradient': 0.006120430305600166, 'train/loss_x_norm': 0.002938225632533431, 'train/mask_ratio': 0.6457035541534424}",unimatch_v2_wandb_normloss_gradient_dino_small
7,"{'_runtime': 441.017030334, '_step': 401, '_timestamp': 1739336571.978949, '_wandb': {'runtime': 442}, 'train/loss_all': 0.09845735132694244, 'train/loss_s': 0.006836033426225185, 'train/loss_x': 0.2817646265029907, 'train/loss_x_gradient': 0.00677137216553092, 'train/mask_ratio': 0.5403465032577515}",unimatch_v2_wandb_gradient_dino_small
8,"{'_runtime': 440.764202743, '_step': 388, '_timestamp': 1739336575.7701898, '_wandb': {'runtime': 441}, 'train/loss_all': 0.02891944907605648, 'train/loss_s': 0.007870769128203392, 'train/loss_x': 0.09794776886701584, 'train/loss_x_gradient': 0.006919891107827425, 'train/loss_x_norm': 0.002939364640042186, 'train/mask_ratio': 0.6601958274841309}",unimatch_v2_wandb_normloss_gradient_dino_small
9,"{'_runtime': 435.906557537, '_step': 381, '_timestamp': 1739336571.267497, '_wandb': {'runtime': 437}, 'train/loss_all': 0.055105049163103104, 'train/loss_s': 0.014374922029674051, 'train/loss_x': 0.19483011960983276, 'train/loss_x_gradient': 0.008324217051267624, 'train/loss_x_norm': 0.002890933770686388, 'train/mask_ratio': 0.49883273243904114}",unimatch_v2_wandb_normloss_gradient_dino_small
10,"{'_runtime': 440.860748417, '_step': 386, '_timestamp': 1739336576.859516, '_wandb': {'runtime': 441}, 'train/loss_all': 0.10529202222824097, 'train/loss_s': 0.010252575390040874, 'train/loss_x': 0.2988682687282562, 'train/loss_x_gradient': 0.006755223497748375, 'train/mask_ratio': 0.6840383410453796}",unimatch_v2_wandb_gradient_dino_small
11,"{'_runtime': 441.330528178, '_step': 401, '_timestamp': 1739336579.656407, '_wandb': {'runtime': 442}, 'train/loss_all': 0.06782370805740356, 'train/loss_s': 0.0057583521120250225, 'train/loss_x': 0.19059301912784576, 'train/loss_x_gradient': 0.007119752001017332, 'train/mask_ratio': 0.31685230135917664}",unimatch_v2_wandb_gradient_dino_small
12,"{'_runtime': 440.027782449, '_step': 399, '_timestamp': 1739336580.6800888, '_wandb': {'runtime': 441}, 'train/loss_all': 0.09648609161376952, 'train/loss_s': 0.02024560421705246, 'train/loss_x': 0.35373929142951965, 'train/loss_x_gradient': 0.009047639556229116, 'train/loss_x_norm': 0.0029118251986801624, 'train/mask_ratio': 0.4238913953304291}",unimatch_v2_wandb_normloss_gradient_dino_small
13,"{'_runtime': 440.635301348, '_step': 387, '_timestamp': 1739336581.824262, '_wandb': {'runtime': 440}, 'train/loss_all': 0.06193974241614342, 'train/loss_s': 0.008763685822486877, 'train/loss_x': 0.1686147898435593, 'train/loss_x_gradient': 0.008440746925771236, 'train/mask_ratio': 0.28122544288635254}",unimatch_v2_wandb_gradient_dino_small
14,{'_wandb': {'runtime': 7}},unimatch_v2_wandb_normloss_dino_small
15,"{'_runtime': 436.538242978, '_step': 544, '_timestamp': 1739336584.681845, '_wandb': {'runtime': 437}, 'train/loss_all': 0.04602512717247009, 'train/loss_s': 0.01123933307826519, 'train/loss_x': 0.12391724437475204, 'train/loss_x_norm': 0.002918804995715618, 'train/mask_ratio': 0.3756062090396881}",unimatch_v2_wandb_normloss_dino_small
16,"{'_runtime': 435.321081245, '_step': 537, '_timestamp': 1739336587.649502, '_wandb': {'runtime': 436}, 'train/loss_all': 0.16673284769058228, 'train/loss_s': 0.02142573706805706, 'train/loss_x': 0.4758983254432678, 'train/loss_x_norm': 0.0028744719456881285, 'train/mask_ratio': 0.6833723187446594}",unimatch_v2_wandb_normloss_dino_small
17,"{'_runtime': 405.626433578, '_step': 497, '_timestamp': 1739336558.911144, '_wandb': {'runtime': 406}, 'train/loss_all': 0.21485799551010132, 'train/loss_s': 0.004861062858253717, 'train/loss_x': 0.6367736458778381, 'train/loss_x_norm': 0.002939257537946105, 'train/mask_ratio': 0.6073676943778992}",unimatch_v2_wandb_normloss_dino_small
18,"{'_runtime': 410.133285831, '_step': 354, '_timestamp': 1739336565.5347612, '_wandb': {'runtime': 410}, 'train/loss_all': 0.15236252546310425, 'train/loss_s': 0.0013461781200021503, 'train/loss_x': 0.5929231643676758, 'train/loss_x_gradient': 0.012217212468385696, 'train/loss_x_norm': 0.0029635592363774776, 'train/mask_ratio': 0.4835684299468994}",unimatch_v2_wandb_normloss_gradient_dino_small
19,"{'_runtime': 407.316717229, '_step': 488, '_timestamp': 1739336563.867549, '_wandb': {'runtime': 408}, 'train/loss_all': 0.09732414782047272, 'train/loss_s': 0.05985244736075401, 'train/loss_x': 0.22919826209545135, 'train/loss_x_norm': 0.002921735867857933, 'train/mask_ratio': 0.3495818078517914}",unimatch_v2_wandb_normloss_dino_small
20,"{'_runtime': 443.311484216, '_step': 386, '_timestamp': 1739336604.384611, '_wandb': {'runtime': 444}, 'train/loss_all': 0.08160784840583801, 'train/loss_s': 0.0010797730647027493, 'train/loss_x': 0.3122953176498413, 'train/loss_x_gradient': 0.010129964910447598, 'train/loss_x_norm': 0.002926361979916692, 'train/mask_ratio': 0.7136240601539612}",unimatch_v2_wandb_wo_FA_normloss_gradient_dino_base
21,"{'_runtime': 439.627376802, '_step': 390, '_timestamp': 1739336604.552546, '_wandb': {'runtime': 439}, 'train/loss_all': 0.055223580449819565, 'train/loss_s': 0.002816209802404046, 'train/loss_x': 0.20870333909988403, 'train/loss_x_gradient': 0.006457608658820391, 'train/loss_x_norm': 0.0029171500355005264, 'train/mask_ratio': 0.47165876626968384}",unimatch_v2_wandb_wo_FA_normloss_gradient_dino_base
