"Name","State","Notes","User","Tags","Created","Runtime","Sweep","eval/mIoU (Max)","eval/mIoU_ema (Max)","train/loss_all","train/loss_s","train/loss_x","train/loss_x_gradient","train/loss_x_norm","train/mask_ratio"
"unimatch_v2_wandb_dino_large","running","-","","","2025-02-05T04:35:59.000Z","129214","","82.08219835320942","82.11746479079609","0.0026431018486618996","0.003594650886952877","0.0016915525775402784","","","0.9847450852394104"
"unimatch_v2_wandb_wo_FA_gradient_dino_large","running","-","","","2025-02-04T00:48:21.000Z","229270","","82.232618112234","82.09698428067313","0.014562420547008514","0.033497050404548645","0.009793100878596306","0.0003971095429733395","","0.97629976272583"
"unimatch_v2_wandb_gradient_dino_small","finished","-","","","2025-02-03T21:58:25.000Z","175732","","81.98749152552507","82.09142727446246","0.017403777688741684","0.051027730107307434","0.00039577906136401","0.0007878188043832779","","0.98563814163208"
"unimatch_v2_wandb_gradient_dino_base","finished","-","","","2025-02-03T22:00:55.000Z","173216","","81.86885923235658","82.06378885747505","0.022082045674324036","0.06416614353656769","0.001316406298428774","0.0007635839283466339","","0.976736307144165"
"unimatch_v2_wandb_wo_FA_gradient_dino_small","finished","-","","","2025-02-03T21:59:07.000Z","176206","","81.78257640506779","81.93611546317588","0.01339607499539852","0.03824467211961746","0.0014316512970253823","0.0005119001725688577","","0.9867197871208192"
"unimatch_v2_wandb_wo_FA_normloss_gradient_dino_small","finished","-","","","2025-02-03T22:00:27.000Z","113643","","81.52240945479753","81.91708099964977","0.009994253516197205","0.03653404116630554","0.00029638889827765524","0.0004679715493693948","0.0026786127127707005","0.9666780829429626"
"unimatch_v2_wandb_wo_FA_gradient_dino_small","finished","-","","","2025-02-03T21:58:56.000Z","176197","","81.53629608305877","81.87009168571343","0.004919258877635002","0.01366632804274559","0.0007028495310805738","0.0003885980113409459","","0.9751428365707396"
"unimatch_v2_wandb_wo_FA_gradient_dino_base","finished","-","","","2025-02-03T22:01:48.000Z","169115","","81.62038344733435","81.82421996176637","0.027624577283859253","0.08161042630672455","0.0008271831902675331","0.0004361254395917058","","0.9831291437149048"
"unimatch_v2_wandb_wo_FA_normloss_dino_base","finished","-","","","2025-02-03T22:01:56.000Z","125194","","81.70307358272497","81.81593925029277","0.0057807015255093575","0.01302365679293871","0.001807273249141872","","0.002511173253878951","0.9833326935768129"
"unimatch_v2_wandb_wo_FA_normloss_gradient_dino_small","failed","-","","","2025-02-03T22:00:55.000Z","46101","","80.87980898508806","81.80722759100779","0.010676322504878044","0.022142725065350533","0.01642562635242939","0.001408892683684826","0.0027280435897409916","0.978747546672821"
"unimatch_v2_wandb_dino_large","crashed","-","","","2025-02-03T22:13:33.000Z","10767","","78.91284564601847","81.61420765909013","0.02663308195769787","0.04501599818468094","0.008250164799392223","","","0.9449033141136168"
"unimatch_v2_wandb_wo_FA_gradient_dino_large","running","-","","","2025-02-04T20:44:47.000Z","157479","","81.3228259860899","81.51311341429096","0.006633178796619177","0.0052718352526426315","0.014218003489077091","0.00040969622205011547","","0.987030029296875"
"unimatch_v2_wandb_wo_FA_gradient_dino_large","crashed","-","","","2025-02-03T22:33:25.000Z","38180","","81.08557082857915","81.4326736848848","0.0221738051623106","0.061354346573352814","0.002638868521898985","0.0025281973648816347","","0.9512571692466736"
"unimatch_v2_wandb_wo_FA_normloss_gradient_dino_large","finished","-","","","2025-02-03T22:02:39.000Z","174932","","80.81869769088115","81.10702824143378","0.00387994572520256","0.01135341450572014","0.0009440167341381313","0.0005859439261257648","0.0026364075019955635","0.9886780381202698"
"unimatch_v2_wandb_wo_FA_dino_large","running","-","","","2025-02-05T04:53:57.000Z","128134","","79.82552315244047","80.00845509357097","0.008804282173514366","0.01639559678733349","0.0012129684910178185","","","0.9883593916893004"
"unimatch_v2_wandb_wo_FA_dino_small","crashed","-","","","2025-02-03T23:59:55.000Z","0","","","","","","","","",""
"unimatch_v2_wandb_normloss_gradient_dino_small","crashed","-","","","2025-02-03T23:21:02.000Z","569","","","","0.015967167913913727","0.007969573140144348","0.04220767691731453","0.01077607087790966","0.0029153479263186455","0.6178903579711914"
"unimatch_v2_wandb_wo_FA_dino_large","crashed","-","","","2025-02-04T00:10:01.000Z","316","","","","0.2871674597263336","0.060874514281749725","0.5134603977203369","","","0.5695511102676392"
"unimatch_v2_wandb_normloss_gradient_dino_large","crashed","-","","","2025-02-03T23:48:50.000Z","370","","","","0.08749760687351227","0.00017745584773365408","0.3365459740161896","0.010348062962293623","0.0029189647175371647","0.4160636365413666"
"unimatch_v2_wandb_wo_FA_normloss_dino_large","crashed","-","","","2025-02-03T22:51:22.000Z","879","","","","0.0530124269425869","0.0459052175283432","0.1101757287979126","","0.0029563340358436108","0.9009280204772948"
"unimatch_v2_wandb_gradient_dino_small","crashed","-","","","2025-02-03T22:51:24.000Z","876","","","","0.0593864880502224","0.012483159080147743","0.15807725489139557","0.007599034812301397","","0.6391888856887817"
"unimatch_v2_wandb_wo_FA_normloss_gradient_dino_small","crashed","-","","","2025-02-03T22:00:40.000Z","1656","","","","0.0367431677877903","0.088375523686409","0.04770634323358536","0.008000393398106098","0.0028904168866574764","0.8095726370811462"
"unimatch_v2_wandb_wo_FA_dino_small","crashed","-","","","2025-02-03T22:32:33.000Z","732","","","","0.033390942960977554","0.03261953592300415","0.03416234999895096","","","0.7162889242172241"
"unimatch_v2_wandb_wo_FA_dino_small","crashed","-","","","2025-02-03T22:51:17.000Z","884","","","","0.03774610161781311","0.003681525122374296","0.07181067764759064","","","0.6508083939552307"
"unimatch_v2_wandb_dino_small","crashed","-","","","2025-02-03T23:59:56.000Z","0","","","","","","","","",""
"unimatch_v2_wandb_normloss_gradient_dino_large","crashed","-","","","2025-02-03T22:51:18.000Z","883","","","","0.024779055267572403","0.021811626851558685","0.06885272264480591","0.005498351529240608","0.002953524235635996","0.6112892627716064"
"unimatch_v2_wandb_normloss_gradient_dino_small","crashed","-","","","2025-02-03T22:01:16.000Z","1051","","","","0.011686749756336212","0.020924821496009827","0.01553143747150898","0.007356892339885235","0.0029338463209569454","0.743403434753418"
"unimatch_v2_wandb_normloss_dino_large","crashed","-","","","2025-02-03T23:48:43.000Z","248","","","","0.2957844138145447","0.002604325069114566","0.8817744255065918","","0.002974501810967922","0.25132665038108826"
"unimatch_v2_wandb_dino_large","crashed","-","","","2025-02-03T23:34:54.000Z","0","","","","","","","","",""
"unimatch_v2_wandb_gradient_dino_small","crashed","-","","","2025-02-03T22:01:16.000Z","1006","","","","0.20084887742996216","0.002518260618671775","0.5961263179779053","0.003902075346559286","","0.15673129260540009"
"unimatch_v2_wandb_normloss_gradient_dino_large","crashed","-","","","2025-02-03T23:21:07.000Z","548","","","","0.027696961537003517","0.015453359112143517","0.07396414130926132","0.018475454300642017","0.0028948835097253323","0.5841782689094543"
"unimatch_v2_wandb_gradient_dino_small","crashed","-","","","2025-02-03T23:11:25.000Z","0","","","","","","","","",""
"unimatch_v2_wandb_wo_FA_dino_large","crashed","-","","","2025-02-03T23:21:31.000Z","16","","","","","","","","",""
"unimatch_v2_wandb_dino_large","crashed","-","","","2025-02-04T00:09:50.000Z","328","","","","0.10318496078252792","0.07725487649440765","0.1291150450706482","","","0.6879319548606873"
"unimatch_v2_wandb_wo_FA_normloss_dino_large","crashed","-","","","2025-02-03T23:48:48.000Z","16","","","","","","","","",""
"unimatch_v2_wandb_normloss_gradient_dino_large","crashed","-","","","2025-02-03T23:11:03.000Z","343","","","","0.027188032865524292","0.00522009190171957","0.08242581784725189","0.018168354406952855","0.0029378682374954224","0.5115939974784851"
"unimatch_v2_wandb_normloss_gradient_dino_small","crashed","-","","","2025-02-03T23:10:55.000Z","36","","","","","","","","",""
"unimatch_v2_wandb_wo_FA_dino_small","crashed","-","","","2025-02-03T21:59:40.000Z","1641","","","","0.028391197323799133","0.027044381946325306","0.029738010838627815","","","0.8119582533836365"
"unimatch_v2_wandb_wo_FA_normloss_dino_large","crashed","-","","","2025-02-03T23:48:52.000Z","368","","","","0.06847226619720459","0.02591095119714737","0.17666450142860413","","0.002841352950781584","0.550288200378418"
"unimatch_v2_wandb_wo_FA_normloss_dino_large","crashed","-","","","2025-02-03T23:21:05.000Z","565","","","","0.05079987645149231","0.02380508184432983","0.12567086517810822","","0.0029236827977001667","0.6679617166519165"
"unimatch_v2_wandb_wo_FA_dino_small","crashed","-","","","2025-02-03T23:11:01.000Z","0","","","","","","","","",""
"unimatch_v2_wandb_normloss_dino_large","crashed","-","","","2025-02-04T00:00:00.000Z","301","","","","0.053653474897146225","0.017195358872413635","0.1409069299697876","","0.002858127234503627","0.4258766174316406"
"unimatch_v2_wandb_normloss_gradient_dino_large","crashed","-","","","2025-02-03T22:32:07.000Z","850","","","","0.02098763734102249","0.011984129436314106","0.0632704570889473","0.005763339344412088","0.00293262442573905","0.8302462697029114"
"unimatch_v2_wandb_wo_FA_gradient_dino_large","crashed","-","","","2025-02-03T23:48:43.000Z","152","","","","0.1954558938741684","0.0008142432197928429","0.5727272033691406","0.012826204299926758","","0.5672964453697205"
"unimatch_v2_wandb_wo_FA_gradient_dino_large","crashed","-","","","2025-02-04T00:10:27.000Z","288","","","","0.17729860544204712","0.006819623988121748","0.5099854469299316","0.0150907589122653","","0.5559611320495605"
"unimatch_v2_wandb_wo_FA_dino_small","crashed","-","","","2025-02-03T21:59:44.000Z","1623","","","","0.060035377740859985","0.08342374116182327","0.0366470105946064","","","0.8364351987838745"
"unimatch_v2_wandb_dino_large","crashed","-","","","2025-02-04T00:09:49.000Z","313","","","","0.04998156055808067","0.004043901339173317","0.09591922163963318","","","0.6690397262573242"
"unimatch_v2_wandb_normloss_dino_large","crashed","-","","","2025-02-03T23:21:11.000Z","219","","","","0.1292833387851715","0.0013246469898149371","0.383594810962677","","0.002930533606559038","0.27791956067085266"
"unimatch_v2_wandb_wo_FA_normloss_dino_large","crashed","-","","","2025-02-03T23:21:02.000Z","0","","","","","","","","",""
"unimatch_v2_wandb_wo_FA_normloss_gradient_dino_small","crashed","-","","","2025-02-03T22:32:04.000Z","852","","","","0.1213587149977684","0.01100884098559618","0.46577417850494385","0.005735570099204779","0.0029162694700062275","0.6750643253326416"
"unimatch_v2_wandb_normloss_dino_large","crashed","-","","","2025-02-04T00:00:04.000Z","311","","","","0.1120733916759491","0.0009594595176167786","0.33235958218574524","","0.002901130821555853","0.5325462818145752"
"unimatch_v2_wandb_wo_FA_dino_large","crashed","-","","","2025-02-04T00:00:02.000Z","315","","","","0.0364566296339035","0.0046080732718110085","0.06830518692731857","","","0.4667862355709076"
"unimatch_v2_wandb_wo_FA_dino_small","crashed","-","","","2025-02-03T21:59:38.000Z","1526","","","","0.02285698801279068","0.02202976867556572","0.02368420921266079","","","0.8958829641342163"
"unimatch_v2_wandb_wo_FA_normloss_dino_large","crashed","-","","","2025-02-03T22:32:02.000Z","853","","","","0.12225573509931564","0.22139054536819455","0.14244864881038666","","0.002928005997091532","0.8387837409973145"
"unimatch_v2_wandb_wo_FA_dino_small","crashed","-","","","2025-02-03T23:10:55.000Z","0","","","","","","","","",""
"unimatch_v2_wandb_dino_small","crashed","-","","","2025-02-03T23:34:49.000Z","72","","","","0.4119894206523895","0.004772961139678955","0.8192058801651001","","","0.23026788234710693"
"unimatch_v2_wandb_gradient_dino_small","crashed","-","","","2025-02-03T22:32:26.000Z","830","","","","0.022541593760252","0.028879616409540176","0.01744154654443264","0.021303610876202583","","0.49018824100494385"
"unimatch_v2_wandb_wo_FA_dino_large","crashed","-","","","2025-02-04T00:00:31.000Z","0","","","","","","","","",""
"unimatch_v2_wandb_dino_small","crashed","-","","","2025-02-03T22:00:00.000Z","1607","","","","0.18098798394203183","0.31186163425445557","0.050114333629608154","","","0.8210539817810059"
"unimatch_v2_wandb_dino_large","crashed","-","","","2025-02-04T00:09:52.000Z","326","","","","0.18741346895694733","0.0071823010221123695","0.36764463782310486","","","0.7401149868965149"
"unimatch_v2_wandb_wo_FA_gradient_dino_large","crashed","-","","","2025-02-03T23:35:17.000Z","90","","","","0.12740811705589294","0.006529407575726509","0.3732924163341522","0.0024025021120905876","","0.27224138379096985"
"unimatch_v2_wandb_wo_FA_gradient_dino_large","crashed","-","","","2025-02-04T00:09:49.000Z","326","","","","0.06994859129190445","0.0009223116212524474","0.2005583494901657","0.008365117013454437","","0.45058536529541016"
"unimatch_v2_wandb_normloss_dino_large","crashed","-","","","2025-02-03T22:51:20.000Z","764","","","","0.07258161902427673","0.024359580129384995","0.19043229520320892","","0.0029529838357120752","0.7001311779022217"
"unimatch_v2_wandb_dino_small","crashed","-","","","2025-02-03T23:48:45.000Z","376","","","","0.07779469341039658","0.005766733083873987","0.1498226523399353","","","0.25773748755455017"
"unimatch_v2_wandb_wo_FA_dino_large","crashed","-","","","2025-02-03T23:34:52.000Z","54","","","","0.4370150864124298","0.0024130125530064106","0.8716171383857727","","","0.31841444969177246"
"unimatch_v2_wandb_wo_FA_dino_small","crashed","-","","","2025-02-03T23:10:57.000Z","259","","","","0.13072238862514496","0.012092837132513525","0.24935193359851837","","","0.4548165798187256"
"unimatch_v2_wandb_normloss_gradient_dino_large","crashed","-","","","2025-02-03T22:51:59.000Z","841","","","","0.02639169245958328","0.04805133491754532","0.04917371645569801","0.005372253246605396","0.00296946382150054","0.8091424703598022"
"unimatch_v2_wandb_wo_FA_normloss_dino_small","crashed","-","","","2025-02-03T21:59:41.000Z","1639","","","","0.03309048339724541","0.07567133009433746","0.02064526081085205","","0.0029548564925789833","0.9630824327468872"
"unimatch_v2_wandb_wo_FA_dino_large","crashed","-","","","2025-02-03T23:35:02.000Z","554","","","","0.05241110548377037","0.011215060949325562","0.09360715001821518","","","0.5001925826072693"
"unimatch_v2_wandb_wo_FA_dino_small","crashed","-","","","2025-02-03T21:59:38.000Z","809","","","","0.13441729545593262","0.18506954610347748","0.08376505225896835","","","0.830691397190094"
"unimatch_v2_wandb_normloss_dino_large","crashed","-","","","2025-02-03T22:32:28.000Z","815","","","","0.24260680377483368","0.5943745374679565","0.13044118881225586","","0.003004656406119466","0.7921345233917236"
"unimatch_v2_wandb_normloss_dino_large","crashed","-","","","2025-02-03T23:34:50.000Z","150","","","","0.2095181792974472","0.004077417775988579","0.6214886903762817","","0.002988385269418359","0.5110138058662415"
