,summary,name
0,"{'_runtime': 170753.920715007, '_step': 155999, '_timestamp': 1738790619.5753934, '_wandb': {'runtime': 170754}, 'eval/mIoU': 84.33649111932654, 'eval/mIoU_ema': 84.3349989509887, 'train/loss_all': 0.006651625502854586, 'train/loss_s': 0.0204247385263443, 'train/loss_x': 0.003299090778455138, 'train/loss_x_gradient': 0.0004206742742098868, 'train/loss_x_norm': 0.002461997792124748, 'train/mask_ratio': 0.9856486916542052}",unimatch_v2_wandb_wo_FA_normloss_gradient_dino_small
1,"{'_runtime': 173303.495972211, '_step': 155999, '_timestamp': 1738793171.2687232, '_wandb': {'runtime': 173304}, 'eval/mIoU': 84.17343063643011, 'eval/mIoU_ema': 84.16702686067381, 'train/loss_all': 0.010363565757870674, 'train/loss_s': 0.029112190008163452, 'train/loss_x': 0.0014415769837796688, 'train/loss_x_gradient': 0.0005369302816689014, 'train/mask_ratio': 0.9862293601036072}",unimatch_v2_wandb_gradient_dino_small
2,"{'_runtime': 170623.922499182, '_step': 155999, '_timestamp': 1738790512.2399943, '_wandb': {'runtime': 170625}, 'eval/mIoU': 83.30148078069999, 'eval/mIoU_ema': 83.31205938608964, 'train/loss_all': 0.0042875963263213634, 'train/loss_s': 0.01160973310470581, 'train/loss_x': 0.0005578314303420484, 'train/loss_x_gradient': 0.0006952234543859959, 'train/mask_ratio': 0.97582346200943}",unimatch_v2_wandb_gradient_dino_small
3,"{'_runtime': 175729.60431309, '_step': 155999, '_timestamp': 1738795634.7951298, '_wandb': {'runtime': 175730}, 'eval/mIoU': 81.82389696488563, 'eval/mIoU_ema': 81.82099800075481, 'train/loss_all': 0.017403777688741684, 'train/loss_s': 0.051027730107307434, 'train/loss_x': 0.00039577906136401, 'train/loss_x_gradient': 0.0007878188043832779, 'train/mask_ratio': 0.98563814163208}",unimatch_v2_wandb_gradient_dino_small
4,"{'_runtime': 176172.322996882, '_step': 155999, '_timestamp': 1738796082.997619, '_wandb': {'runtime': 176173}, 'eval/mIoU': 83.96626832771017, 'eval/mIoU_ema': 83.96195952430601, 'train/loss_all': 0.004524304531514645, 'train/loss_s': 0.014130308292806149, 'train/loss_x': 0.0007924367091618478, 'train/loss_x_gradient': 0.0004793326370418072, 'train/loss_x_norm': 0.0026951399631798267, 'train/mask_ratio': 0.9884719252586364}",unimatch_v2_wandb_normloss_gradient_dino_small
5,"{'_runtime': 131270.927053989, '_step': 155999, '_timestamp': 1738751183.322448, '_wandb': {'runtime': 131271}, 'eval/mIoU': 84.82307789941426, 'eval/mIoU_ema': 84.82442718393287, 'train/loss_all': 0.0107522364705801, 'train/loss_s': 0.02846878580749035, 'train/loss_x': 0.0012379667023196816, 'train/loss_x_norm': 0.002549955155700445, 'train/mask_ratio': 0.9600861668586732}",unimatch_v2_wandb_normloss_dino_small
6,"{'_runtime': 127237.4082072, '_step': 155999, '_timestamp': 1738747150.1820116, '_wandb': {'runtime': 127238}, 'eval/mIoU': 84.65770357883264, 'eval/mIoU_ema': 84.65891478287497, 'train/loss_all': 0.004653171636164188, 'train/loss_s': 0.010696950368583202, 'train/loss_x': 0.0008235852583311498, 'train/loss_x_norm': 0.0024389782920479774, 'train/mask_ratio': 0.99042809009552}",unimatch_v2_wandb_normloss_dino_small
7,"{'_runtime': 173845.503689839, '_step': 155999, '_timestamp': 1738793763.2089968, '_wandb': {'runtime': 173846}, 'eval/mIoU': 82.34536114178701, 'eval/mIoU_ema': 82.34967208795264, 'train/loss_all': 0.0025777441915124655, 'train/loss_s': 0.005902833305299282, 'train/loss_x': 0.001340561779215932, 'train/loss_x_gradient': 0.00044465361861512065, 'train/loss_x_norm': 0.0026229280047118664, 'train/mask_ratio': 0.9905787706375122}",unimatch_v2_wandb_normloss_gradient_dino_small
8,"{'_runtime': 32214.316772311, '_step': 38282, '_timestamp': 1738652131.9712274, '_wandb': {'runtime': 32215}, 'eval/mIoU': 82.14052926084352, 'eval/mIoU_ema': 83.60069559185597, 'train/loss_all': 0.02105984091758728, 'train/loss_s': 0.04870367795228958, 'train/loss_x': 0.011838341131806374, 'train/loss_x_norm': 0.0026375041343271732, 'train/mask_ratio': 0.9877679347991944}",unimatch_v2_wandb_normloss_dino_small
9,"{'_runtime': 176195.472246947, '_step': 155999, '_timestamp': 1738796130.9286325, '_wandb': {'runtime': 176196}, 'eval/mIoU': 81.06799598525134, 'eval/mIoU_ema': 81.06073707989519, 'train/loss_all': 0.004919258877635002, 'train/loss_s': 0.01366632804274559, 'train/loss_x': 0.0007028495310805738, 'train/loss_x_gradient': 0.0003885980113409459, 'train/mask_ratio': 0.9751428365707396}",unimatch_v2_wandb_wo_FA_gradient_dino_small
10,"{'_runtime': 167792.58878251, '_step': 155999, '_timestamp': 1738787734.4512618, '_wandb': {'runtime': 167793}, 'eval/mIoU': 82.70033400178646, 'eval/mIoU_ema': 82.70624893704075, 'train/loss_all': 0.0026498879306018353, 'train/loss_s': 0.006651503499597311, 'train/loss_x': 0.0008844148833304644, 'train/loss_x_gradient': 0.0004137447103857994, 'train/mask_ratio': 0.9815820455551147}",unimatch_v2_wandb_wo_FA_gradient_dino_small
11,"{'_runtime': 176204.462328873, '_step': 155999, '_timestamp': 1738796151.0147746, '_wandb': {'runtime': 176205}, 'eval/mIoU': 81.66800894507902, 'eval/mIoU_ema': 81.66604683147179, 'train/loss_all': 0.01339607499539852, 'train/loss_s': 0.03824467211961746, 'train/loss_x': 0.0014316512970253823, 'train/loss_x_gradient': 0.0005119001725688577, 'train/mask_ratio': 0.9867197871208192}",unimatch_v2_wandb_wo_FA_gradient_dino_small
12,"{'_runtime': 129990.980399222, '_step': 155999, '_timestamp': 1738749939.72701, '_wandb': {'runtime': 129991}, 'eval/mIoU': 84.32356105211181, 'eval/mIoU_ema': 84.31657727408464, 'train/loss_all': 0.004445305559784174, 'train/loss_s': 0.01034187339246273, 'train/loss_x': 0.00033706045360304415, 'train/loss_x_norm': 0.0026569822803139687, 'train/mask_ratio': 0.965332806110382}",unimatch_v2_wandb_normloss_dino_small
13,"{'_runtime': 171713.86530074, '_step': 155999, '_timestamp': 1738791664.103325, '_wandb': {'runtime': 171715}, 'eval/mIoU': 84.12630696308011, 'eval/mIoU_ema': 84.12665064427644, 'train/loss_all': 0.007653010543435812, 'train/loss_s': 0.017578840255737305, 'train/loss_x': 0.005168858915567398, 'train/loss_x_gradient': 0.00021133165864739567, 'train/mask_ratio': 0.9734115600585938}",unimatch_v2_wandb_wo_FA_gradient_dino_small
14,"{'_runtime': 173715.728236496, '_step': 155999, '_timestamp': 1738793669.0677283, '_wandb': {'runtime': 173717}, 'eval/mIoU': 84.74804723728747, 'eval/mIoU_ema': 84.7488588150447, 'train/loss_all': 0.005956294946372509, 'train/loss_s': 0.01610211841762066, 'train/loss_x': 0.001336179906502366, 'train/loss_x_gradient': 0.00043058491428382695, 'train/mask_ratio': 0.989731788635254}",unimatch_v2_wandb_wo_FA_gradient_dino_small
15,"{'_runtime': 127699.494304463, '_step': 155999, '_timestamp': 1738747653.3198743, '_wandb': {'runtime': 127700}, 'eval/mIoU': 85.05049425616946, 'eval/mIoU_ema': 85.04783690951393, 'train/loss_all': 0.005466030444949865, 'train/loss_s': 0.013130880892276764, 'train/loss_x': 0.0007367606740444899, 'train/loss_x_norm': 0.0025304495356976986, 'train/mask_ratio': 0.9897821545600892}",unimatch_v2_wandb_wo_FA_normloss_dino_small
16,"{'_runtime': 130971.010907378, '_step': 155999, '_timestamp': 1738750926.5794768, '_wandb': {'runtime': 130971}, 'eval/mIoU': 85.1923664282166, 'eval/mIoU_ema': 85.18920199232721, 'train/loss_all': 0.0030134301632642746, 'train/loss_s': 0.005973235238343477, 'train/loss_x': 0.0004790628736373037, 'train/loss_x_norm': 0.002587992697954178, 'train/mask_ratio': 0.9801169037818908}",unimatch_v2_wandb_wo_FA_normloss_dino_small
17,"{'_runtime': 240029.493302036, '_step': 143016, '_timestamp': 1738859986.8125238, '_wandb': {'runtime': 240029}, 'eval/mIoU': 84.7702204530072, 'eval/mIoU_ema': 84.84791039608312, 'train/loss_all': 0.002451454987749458, 'train/loss_s': 0.005670386366546154, 'train/loss_x': 0.0008674071868881583, 'train/loss_x_gradient': 0.0007097061024978757, 'train/loss_x_norm': 0.002558320527896285, 'train/mask_ratio': 0.9911121726036072}",unimatch_v2_wandb_wo_FA_normloss_gradient_dino_small
18,"{'_runtime': 225128.924197844, '_step': 155999, '_timestamp': 1738845086.4984405, '_wandb': {'runtime': 225130}, 'eval/mIoU': 84.31395377734641, 'eval/mIoU_ema': 84.31127048347632, 'train/loss_all': 0.01609596610069275, 'train/loss_s': 0.060836367309093475, 'train/loss_x': 0.0005729990662075579, 'train/loss_x_gradient': 0.00038701569428667426, 'train/loss_x_norm': 0.0025874802377074957, 'train/mask_ratio': 0.9661105871200562}",unimatch_v2_wandb_normloss_gradient_dino_small
19,"{'_runtime': 128870.25018571, '_step': 155999, '_timestamp': 1738748831.0297875, '_wandb': {'runtime': 128871}, 'eval/mIoU': 84.1002082429872, 'eval/mIoU_ema': 84.09753815908213, 'train/loss_all': 0.00514298165217042, 'train/loss_s': 0.012421753257513046, 'train/loss_x': 0.0005236745928414166, 'train/loss_x_norm': 0.0024835169315338135, 'train/mask_ratio': 0.9792584180831908}",unimatch_v2_wandb_wo_FA_normloss_dino_small
20,"{'_runtime': 130148.674741469, '_step': 155999, '_timestamp': 1738750121.7890816, '_wandb': {'runtime': 130150}, 'eval/mIoU': 84.16230327321861, 'eval/mIoU_ema': 84.16127343755868, 'train/loss_all': 0.00879320316016674, 'train/loss_s': 0.02359902672469616, 'train/loss_x': 0.0002621173916850239, 'train/loss_x_norm': 0.0025184634141623974, 'train/mask_ratio': 0.9642540216445924}",unimatch_v2_wandb_wo_FA_normloss_dino_small
21,"{'_runtime': 800.557758549, '_step': 1012, '_timestamp': 1738620778.313217, '_wandb': {'runtime': 801}, 'train/loss_all': 0.13441729545593262, 'train/loss_s': 0.18506954610347748, 'train/loss_x': 0.08376505225896835, 'train/mask_ratio': 0.830691397190094}",unimatch_v2_wandb_wo_FA_dino_small
22,"{'_runtime': 1496.756648615, '_step': 1857, '_timestamp': 1738621474.7561936, '_wandb': {'runtime': 1497}, 'train/loss_all': 0.02285698801279068, 'train/loss_s': 0.02202976867556572, 'train/loss_x': 0.02368420921266079, 'train/mask_ratio': 0.8958829641342163}",unimatch_v2_wandb_wo_FA_dino_small
23,"{'_runtime': 128185.946875083, '_step': 155999, '_timestamp': 1738748165.322517, '_wandb': {'runtime': 128186}, 'eval/mIoU': 85.1718520398451, 'eval/mIoU_ema': 85.17028314413758, 'train/loss_all': 0.009136623702943323, 'train/loss_s': 0.01792411506175995, 'train/loss_x': 0.00034913234412670135, 'train/mask_ratio': 0.9805335402488708}",unimatch_v2_wandb_wo_FA_dino_small
24,"{'_runtime': 1633.315281945, '_step': 2024, '_timestamp': 1738621613.5895698, '_wandb': {'runtime': 1634}, 'train/loss_all': 0.028391197323799133, 'train/loss_s': 0.027044381946325306, 'train/loss_x': 0.029738010838627815, 'train/mask_ratio': 0.8119582533836365}",unimatch_v2_wandb_wo_FA_dino_small
25,"{'_runtime': 1616.615296337, '_step': 2020, '_timestamp': 1738621598.0893354, '_wandb': {'runtime': 1617}, 'train/loss_all': 0.03309048339724541, 'train/loss_s': 0.07567133009433746, 'train/loss_x': 0.02064526081085205, 'train/loss_x_norm': 0.0029548564925789833, 'train/mask_ratio': 0.9630824327468872}",unimatch_v2_wandb_wo_FA_normloss_dino_small
26,"{'_runtime': 1610.049651243, '_step': 1984, '_timestamp': 1738621594.0779576, '_wandb': {'runtime': 1610}, 'train/loss_all': 0.060035377740859985, 'train/loss_s': 0.08342374116182327, 'train/loss_x': 0.0366470105946064, 'train/mask_ratio': 0.8364351987838745}",unimatch_v2_wandb_wo_FA_dino_small
