"Name","State","Notes","User","Tags","Created","Runtime","Sweep","eval/mIoU (Max)","eval/mIoU_ema (Max)","train/loss_all","train/loss_s","train/loss_x","train/loss_x_norm","train/mask_ratio","train/loss_x_gradient"
"pascal_FA_full","finished","-","","","2025-01-21T21:56:34.000Z","57824","","88.03498609691762","88.10667894413339","0.013771314173936844","0.024430030956864357","0.003112598322331906","","0.942659318447113",""
"pascal_FA_full_norm","finished","-","","","2025-01-22T17:23:18.000Z","57751","","87.80668666658718","87.86234448352057","0.016820872202515602","0.044187236577272415","0.0036306302063167095","0.002644747495651245","0.9296769499778748",""
"pascal_wo_FA_full","finished","-","","","2025-01-22T00:51:02.000Z","56311","","87.86140682149731","87.84287848752126","0.020671989768743515","0.03672076761722565","0.004623210988938808","","0.956710934638977",""
"pascal_wo_FA_full_norm_gradient","finished","-","","","2025-01-24T18:23:52.000Z","153758","","87.73808911193551","87.62740934723462","0.004216191824525595","0.009947952814400196","0.003567726816982031","0.002676009899005294","0.9766399264335632","0.0006730780587531626"
"pascal_wo_FA_full_norm","finished","-","","","2025-01-22T17:23:51.000Z","56419","","87.52069947402188","87.55804419014461","0.005772394128143787","0.009856605902314186","0.004890741314738989","0.0025698337703943253","0.9522072672843932",""
"pascal_wo_FA_732_norm","finished","-","","","2025-01-22T17:20:55.000Z","61488","","87.34081509648261","87.55078263441318","0.0037182867527008057","0.002566134557127953","0.005927590653300285","0.0026611352805048227","0.98561030626297",""
"pascal_FA_full_norm_gradient","finished","-","","","2025-01-24T18:12:43.000Z","155278","","87.35200501750832","87.43817902021306","0.005398105829954147","0.012219597585499288","0.0060627395287156105","0.0026450143195688725","0.9740331172943116","0.0006650705472566187"
"pascal_FA_732","finished","-","","","2025-01-21T21:53:17.000Z","62735","","87.09407885304088","87.24735826973036","0.008004579693078995","0.00737403891980648","0.008635121397674084","","0.9859218597412108",""
"pascal_wo_FA_full_gradient","killed","-","","","2025-01-27T19:18:50.000Z","79404","","86.25456669588945","87.15339706840929","0.016527360305190086","0.034755486994981766","0.013833561912178991","","0.9706845879554749","0.0009930299129337072"
"pascal_FA_732_norm","finished","-","","","2025-01-22T17:20:19.000Z","64169","","86.88386405734498","87.01450158104304","0.004103172104805708","0.004008921794593334","0.00561042595654726","0.0026901683304458857","0.9866657257080078",""
"pascal_wo_FA_732_norm_gradient","finished","-","","","2025-01-24T18:22:23.000Z","159336","","86.79168010381076","86.85042809478485","0.004704196937382221","0.00745066162198782","0.00826712604612112","0.0025509698316454887","0.9877946376800536","0.0005480295512825251"
"pascal_wo_FA_366","finished","-","","","2025-01-21T00:51:27.000Z","64148","","86.738917485651","86.8458073972646","0.008829868398606777","0.01592661626636982","0.001733120414428413","","0.9714894890785216",""
"pascal_wo_FA_366_norm","finished","-","","","2025-01-22T17:19:15.000Z","63766","","86.75196113410345","86.69801475622782","0.004127291031181812","0.006261442322283983","0.00342062721028924","0.002699802629649639","0.9734116196632384",""
"pascal_wo_FA_732","finished","-","","","2025-01-21T21:51:22.000Z","61795","","86.7954883527498","86.67417095527209","0.007863872684538364","0.006166423670947552","0.009561321698129175","","0.9871700406074524",""
"pascal_FA_full_gradient","killed","-","","","2025-01-27T19:05:35.000Z","80197","","85.7173133524915","86.35183830007992","0.014099953696131706","0.02515763603150845","0.015833301469683647","","0.931757926940918","0.0013089235872030258"
"pascal_FA_732_norm_gradient","finished","-","","","2025-01-24T18:07:41.000Z","168739","","86.1782681949556","86.19336258699539","0.003379832487553358","0.005828745197504759","0.00419498048722744","0.002747080521658063","0.9887282252311708","0.0007485239766538143"
"pascal_FA_732_gradient","killed","-","","","2025-01-27T19:11:00.000Z","79870","","85.82634751543412","86.15738023331681","0.010484411381185057","0.010975626297295094","0.018633510917425156","","0.9696153402328492","0.0018440958810970187"
"pascal_wo_FA_732_gradient","killed","-","","","2025-01-27T19:17:32.000Z","79479","","85.83194820294449","86.12049009885925","0.00990760512650013","0.022783532738685608","0.00500257546082139","","0.9130207300186156","0.001936707412824035"
"pascal_wo_FA_366_gradient","killed","-","","","2025-01-27T19:16:22.000Z","79547","","85.11578253516936","85.76755902516318","0.0042838649824261665","0.005236357916146517","0.006722614169120789","","0.98659086227417","0.0008926221053116024"
"pascal_FA_366_norm","finished","-","","","2025-01-22T17:17:49.000Z","64171","","85.67627025718838","85.76137849203799","0.01091248355805874","0.027552295476198196","0.0026176688261330128","0.0025674840435385704","0.9699247479438782",""
"pascal_wo_FA_366_norm_gradient","finished","-","","","2025-01-24T18:21:12.000Z","170969","","85.81025030926436","85.71228294159523","0.011509941890835762","0.04020128026604653","0.0027881127316504717","0.002576537197455764","0.9678934216499328","0.0004738379502668977"
"pascal_FA_366","finished","-","","","2025-01-20T23:37:15.000Z","63840","","85.53174995158388","85.61603967287937","0.01959874667227268","0.03651277720928192","0.0026847156696021557","","0.958066999912262",""
"pascal_FA_366_norm_gradient","finished","-","","","2025-01-24T18:05:36.000Z","176739","","85.42143243980152","85.32186434665464","0.009829653427004814","0.032548390328884125","0.003556139301508665","0.002591123804450035","0.9286879897117616","0.0006229585269466043"
"pascal_FA_183","finished","-","","","2025-01-21T21:45:33.000Z","65561","","85.12991648025472","85.09398734011215","0.01006806455552578","0.018656164407730103","0.0014799655182287097","","0.9860709309577942",""
"pascal_FA_366_gradient","killed","-","","","2025-01-27T19:07:50.000Z","80058","","84.59033198208132","84.97139798675083","0.008960592560470104","0.011560597456991673","0.014093521051108835","","0.9835848212242126","0.0012276573106646538"
"pascal_FA_183_norm_gradient","finished","-","","","2025-01-24T18:09:34.000Z","170023","","84.6442270757523","84.81203280674549","0.004131093621253967","0.012542268261313438","0.0006827563629485667","0.0026823263615369797","0.9849259853363036","0.0006170225096866488"
"pascal_FA_183_norm","finished","-","","","2025-01-22T17:21:43.000Z","65407","","84.65832210879331","84.56583748428801","0.005783321335911751","0.014013322070240974","0.0008154858369380236","0.0025211558677256107","0.9872082471847534",""
